area_sqft,bedrooms,bathrooms,age_years,distance_from_city_km,parking,furnishing,location,price
3056,6,5,14,22,1,Unfurnished,Suburban,9200000
1275,6,5,15,34,2,Furnished,Suburban,5800000
4514,6,5,31,8,3,Unfurnished,Urban,19400000
534,5,5,1,40,1,Furnished,Rural,1900000
3652,3,2,3,19,0,Unfurnished,Rural,6200000
2455,6,5,16,37,3,Furnished,Suburban,10500000
2085,3,2,23,6,1,Unfurnished,Urban,8450000
4443,3,3,11,26,1,Unfurnished,Urban,18250000
3573,2,1,12,34,0,Furnished,Suburban,13850000
1521,5,4,10,6,0,Semi-Furnished,Urban,9450000
3961,6,5,32,37,2,Unfurnished,Rural,6400000
3113,1,1,16,33,3,Semi-Furnished,Urban,14800000
4343,4,4,8,22,3,Furnished,Urban,28500000
2000,1,1,12,21,2,Semi-Furnished,Rural,3800000
661,5,5,24,6,3,Semi-Furnished,Suburban,2900000
4797,4,4,28,6,3,Semi-Furnished,Urban,25550000
2481,5,5,8,4,3,Semi-Furnished,Urban,15200000
1495,3,3,28,30,3,Semi-Furnished,Urban,6350000
3842,4,4,26,11,3,Furnished,Suburban,16050000
4298,3,3,8,30,0,Semi-Furnished,Urban,22300000
1775,1,1,28,31,3,Semi-Furnished,Suburban,4400000
1516,1,1,28,24,0,Furnished,Rural,2700000
837,4,4,27,9,3,Unfurnished,Urban,3650000
1378,4,4,17,3,2,Semi-Furnished,Rural,3450000
1576,6,5,9,31,1,Semi-Furnished,Rural,3800000
4493,5,4,33,40,0,Unfurnished,Urban,17150000
879,6,5,20,37,3,Semi-Furnished,Rural,1800000
992,5,4,13,36,2,Unfurnished,Suburban,2750000
2562,6,5,28,24,1,Semi-Furnished,Rural,5350000
4384,3,3,29,31,0,Furnished,Suburban,16750000
564,4,3,13,6,1,Semi-Furnished,Suburban,2350000
3068,1,1,35,2,2,Semi-Furnished,Suburban,9550000
2527,5,4,6,20,0,Semi-Furnished,Rural,5650000
3195,5,4,18,28,1,Furnished,Suburban,13250000
1995,1,1,5,11,3,Furnished,Suburban,8450000
891,6,5,25,4,0,Furnished,Rural,2750000
4974,5,4,2,15,1,Furnished,Urban,33300000
4061,3,3,10,6,2,Semi-Furnished,Urban,22100000
2778,4,4,30,30,2,Furnished,Urban,16100000
3599,1,1,5,38,0,Semi-Furnished,Urban,17200000
700,4,3,33,2,1,Semi-Furnished,Urban,2950000
3604,5,4,1,15,0,Semi-Furnished,Rural,8400000
2954,5,5,18,11,0,Unfurnished,Urban,13000000
4145,1,1,32,8,1,Semi-Furnished,Suburban,12950000
1304,3,2,11,26,1,Unfurnished,Urban,5000000
3231,2,1,21,5,3,Semi-Furnished,Rural,6450000
3273,1,1,26,6,1,Furnished,Rural,7400000
2070,2,1,25,26,2,Unfurnished,Suburban,4900000
3190,6,5,22,4,0,Furnished,Rural,8400000
4340,2,2,27,19,0,Furnished,Urban,25100000
1528,3,3,13,20,2,Unfurnished,Rural,2500000
1002,6,5,33,33,1,Furnished,Urban,5400000
4993,2,1,34,20,2,Unfurnished,Rural,7500000
1370,6,5,35,12,2,Semi-Furnished,Urban,7050000
4988,2,1,1,1,3,Unfurnished,Suburban,14450000
706,3,3,21,26,2,Semi-Furnished,Rural,1150000
1984,2,2,6,14,0,Semi-Furnished,Urban,10250000
1363,2,2,28,38,2,Unfurnished,Urban,3900000
3290,2,1,17,37,0,Furnished,Urban,18100000
1063,1,1,5,11,0,Unfurnished,Urban,4200000
4691,1,1,31,36,0,Furnished,Suburban,17000000
2257,1,1,5,13,1,Semi-Furnished,Urban,11700000
2178,3,3,3,3,3,Furnished,Urban,15750000
3742,6,5,23,33,0,Semi-Furnished,Urban,19400000
1559,5,4,10,6,0,Furnished,Rural,4550000
2222,2,1,10,10,1,Unfurnished,Urban,9200000
3814,2,2,19,5,0,Unfurnished,Urban,15550000
3657,3,3,17,23,2,Unfurnished,Urban,15150000
3125,2,1,21,10,2,Furnished,Suburban,12450000
3229,1,1,14,2,3,Semi-Furnished,Rural,6700000
2097,5,5,9,13,0,Semi-Furnished,Urban,12400000
3560,4,4,1,40,1,Furnished,Urban,22950000
3193,2,2,13,2,2,Furnished,Rural,8000000
4127,1,1,4,20,1,Semi-Furnished,Rural,8600000
1863,4,3,1,1,1,Semi-Furnished,Urban,11850000
2481,5,4,32,37,2,Semi-Furnished,Rural,4500000
2163,4,4,34,9,1,Semi-Furnished,Rural,4150000
2029,1,1,28,17,2,Furnished,Urban,10350000
2538,6,5,31,9,1,Furnished,Rural,6650000
3802,6,5,8,11,2,Furnished,Suburban,17750000
2737,4,4,26,15,0,Unfurnished,Suburban,7250000
1806,3,2,34,24,3,Furnished,Urban,9300000
4529,4,3,3,38,2,Furnished,Urban,28900000
3175,2,2,12,35,2,Furnished,Rural,7600000
1782,2,1,1,30,3,Unfurnished,Rural,3100000
1209,6,5,5,31,2,Unfurnished,Suburban,4300000
4913,3,3,30,5,2,Unfurnished,Suburban,13500000
4248,1,1,30,14,1,Semi-Furnished,Suburban,13350000
1163,2,2,17,11,3,Semi-Furnished,Suburban,3750000
2498,6,5,23,9,0,Furnished,Urban,16650000
3945,5,5,15,34,2,Unfurnished,Urban,16600000
4243,6,5,21,12,3,Unfurnished,Rural,7350000
1995,2,1,14,35,1,Semi-Furnished,Urban,8900000
3804,2,2,2,35,0,Unfurnished,Rural,6250000
4263,6,5,11,1,3,Semi-Furnished,Urban,25050000
2353,1,1,34,40,0,Semi-Furnished,Urban,8600000
1791,4,3,34,22,0,Unfurnished,Urban,6250000
4081,2,1,18,29,0,Unfurnished,Suburban,10400000
3957,6,5,30,8,2,Semi-Furnished,Rural,8350000
2136,6,5,15,11,2,Semi-Furnished,Urban,12700000
4196,3,3,27,37,1,Furnished,Rural,9800000
3499,4,4,34,14,1,Semi-Furnished,Suburban,11650000
3652,5,5,33,30,3,Furnished,Rural,8800000
1198,1,1,24,35,1,Semi-Furnished,Urban,3750000
2660,5,4,15,21,0,Unfurnished,Rural,4600000
4597,4,3,30,37,0,Semi-Furnished,Rural,8950000
1354,4,4,17,5,2,Semi-Furnished,Urban,8100000
3974,4,4,5,19,0,Furnished,Urban,25900000
2207,5,5,29,14,3,Furnished,Rural,5600000
3277,4,3,4,26,0,Semi-Furnished,Rural,7050000
2233,6,5,10,4,0,Furnished,Urban,16450000
4010,5,5,17,25,3,Furnished,Suburban,17500000
702,4,3,10,25,1,Semi-Furnished,Rural,1500000
3755,6,5,17,18,1,Unfurnished,Rural,6700000
4718,3,3,20,40,3,Semi-Furnished,Rural,9450000
4996,4,3,24,8,2,Furnished,Rural,12450000
1266,5,4,5,39,0,Semi-Furnished,Suburban,4550000
4889,2,2,34,40,3,Semi-Furnished,Urban,23000000
2827,4,3,6,14,0,Semi-Furnished,Urban,15550000
3431,2,2,2,32,2,Semi-Furnished,Suburban,11800000
697,6,5,13,38,0,Furnished,Suburban,3000000
2430,3,3,11,33,3,Semi-Furnished,Urban,12350000
4082,1,1,23,23,0,Semi-Furnished,Rural,7650000
1108,3,3,16,15,1,Unfurnished,Suburban,3100000
3772,4,3,31,33,2,Semi-Furnished,Suburban,12000000
1647,2,2,11,25,2,Semi-Furnished,Suburban,5400000
4782,2,1,16,17,2,Semi-Furnished,Suburban,16150000
3897,5,5,8,33,3,Semi-Furnished,Urban,21550000
3011,2,2,4,2,2,Unfurnished,Urban,13300000
2294,5,4,4,14,1,Semi-Furnished,Urban,13850000
1159,6,5,25,40,3,Semi-Furnished,Urban,5600000
3311,1,1,3,40,1,Semi-Furnished,Suburban,10700000
1869,4,3,32,39,0,Semi-Furnished,Suburban,5150000
2486,5,5,3,6,0,Semi-Furnished,Urban,15300000
646,1,1,27,6,0,Unfurnished,Rural,500000
3719,2,2,29,3,0,Semi-Furnished,Urban,18200000
3411,2,2,32,7,1,Semi-Furnished,Rural,6700000
2234,1,1,19,8,3,Unfurnished,Rural,3350000
2343,2,1,21,15,3,Furnished,Urban,13600000
988,6,5,5,29,2,Furnished,Suburban,5550000
3476,6,5,18,33,1,Furnished,Urban,22200000
2459,1,1,28,30,0,Unfurnished,Suburban,5350000
2885,5,4,22,39,1,Furnished,Suburban,11600000
3419,5,5,21,27,2,Furnished,Urban,21650000
2302,1,1,6,36,2,Furnished,Suburban,8500000
4561,5,5,1,29,1,Furnished,Urban,30200000
3869,5,5,5,38,1,Furnished,Urban,25300000
762,6,5,12,33,1,Semi-Furnished,Suburban,3250000
1123,5,5,26,37,3,Semi-Furnished,Urban,5350000
1516,3,2,34,27,0,Furnished,Suburban,4600000
4143,4,4,14,33,1,Furnished,Suburban,17300000
2549,2,1,26,4,1,Furnished,Rural,5750000
4223,3,3,27,22,1,Furnished,Urban,24850000
3608,5,4,9,2,2,Semi-Furnished,Suburban,14100000
4590,6,5,26,10,2,Semi-Furnished,Suburban,16650000
